Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status
Flag table 3.4 - Scanning mode,,3,1,Adjacent points in j (y) direction are consecutive,,,,Operational
Flag table 3.4 - Scanning mode,,4,0,All rows scan in the same direction,,,,Operational
Flag table 3.4 - Scanning mode,,4,1,Adjacent rows scan in the opposite direction,,,,Operational
Flag table 3.4 - Scanning mode,,5,0,Points within odd rows are not offset in i (x) direction,,,,Operational
Flag table 3.4 - Scanning mode,,5,1,Points within odd rows are offset by Di/2 in i (x) direction,,,,Operational
Flag table 3.4 - Scanning mode,,6,0,Points within even rows are not offset in i (x) direction,,,,Operational
Flag table 3.4 - Scanning mode,,6,1,Points within even rows are offset by Di/2 in i (x) direction,,,,Operational
Flag table 3.4 - Scanning mode,,7,0,Points are not offset in j (y) direction,,,,Operational
Flag table 3.4 - Scanning mode,,7,1,Points are offset by Dj/2 in j (y) direction,,,,Operational
Flag table 3.4 - Scanning mode,,8,0,Rows have Ni grid points and columns have Nj grid points,,,,Operational
Flag table 3.4 - Scanning mode,,8,1,Rows have Ni grid points if points are not offset in i direction  Rows have Ni-1 grid points if points are offset by Di/2 in i direction  Columns have Nj grid points if points are not offset in j direction  Columns have Nj-1 grid points if points are offset by Dj/2 in j direction,,,,Operational
Flag table 3.5 - Projection centre,,1,0,North Pole is on the projection plane,,,,Operational
Flag table 3.5 - Projection centre,,1,1,South Pole is on the projection plane,,,,Operational
Flag table 3.5 - Projection centre,,2,0,Only one projection centre is used,,,,Operational
Flag table 3.5 - Projection centre,,2,1,Projection is bipolar and symmetric,,,,Operational
Code table 3.6 - Spectral data representation type,,1,,(see separate doc or pdf file),(Code table 3.6),,,Operational
Code table 3.6 - Spectral data representation type,,2,,Bi-Fourier representation,,,,Operational
Code table 3.7 - Spectral data representation mode,,0,,Reserved,,,,Operational
Code table 3.7 - Spectral data representation mode,,1,,(see separate doc or pdf file),(see Note),116,,Operational
Code table 3.7 - Spectral data representation mode,,2-254,,Reserved,,,,Operational
Code table 3.7 - Spectral data representation mode,,255,,Missing,,,,Operational
Code table 3.8 - Grid point position,,0,,Grid points at triangle vertices,,,,Operational
Code table 3.8 - Grid point position,,1,,Grid points at centres of triangles,,,,Operational
Code table 3.8 - Grid point position,,2,,Grid points at midpoints of triangle sides,,,,Operational
Code table 3.8 - Grid point position,,3,,Grid points at shape vertices,,,,Operational
Code table 3.8 - Grid point position,,4,,Grid points at centre of shapes,,,,Operational
Code table 3.8 - Grid point position,,5,,Grid points at midpoints of shape sides,,,,Operational
Code table 3.8 - Grid point position,,6-191,,Reserved,,,,Operational
Code table 3.8 - Grid point position,,192-254,,Reserved for local use,,,,Operational
Code table 3.8 - Grid point position,,255,,Missing,,,,Operational
Flag table 3.9 - Numbering order of diamonds as seen from the corresponding pole,,1,0,Clockwise orientation,,,,Operational
Flag table 3.9 - Numbering order of diamonds as seen from the corresponding pole,,1,1,Anti-clockwise (i.e. counter-clockwise) orientation,,,,Operational
Flag table 3.9 - Numbering order of diamonds as seen from the corresponding pole,,2-8,,Reserved,,,,Operational
Flag table 3.10 - Scanning mode for one diamond,,1,0,"Points scan in +i direction, i.e. from pole to Equator",,,,Operational
Flag table 3.10 - Scanning mode for one diamond,,1,1,"Points scan in -i direction, i.e. from Equator to pole",,,,Operational
Flag table 3.10 - Scanning mode for one diamond,,2,0,"Points scan in +j direction, i.e. from west to east",,,,Operational
Flag table 3.10 - Scanning mode for one diamond,,2,1,"Points scan in -j direction, i.e. from east to west",,,,Operational
Flag table 3.10 - Scanning mode for one diamond,,3,0,Adjacent points in i direction are consecutive,,,,Operational
Flag table 3.10 - Scanning mode for one diamond,,3,1,Adjacent points in j direction are consecutive,,,,Operational
Flag table 3.10 - Scanning mode for one diamond,,4-8,,Reserved,,,,Operational
Code table 3.11 - Interpretation of list of numbers at end of section 3,,0,,There is no appended list,,,,Operational
Code table 3.11 - Interpretation of list of numbers at end of section 3,,1,,"Numbers define number of points corresponding to full coordinate circles (i.e. parallels), coordinate values on each circle are multiple of the circle mesh, and extreme coordinate values given in grid definition (i.e. extreme longitudes) may not be reached in all rows",(see Note 1),50,,Operational
Code table 3.11 - Interpretation of list of numbers at end of section 3,,2,,Numbers define number of points corresponding to coordinate lines delimited by extreme coordinate values given in grid definition (i.e. extreme longitudes) which are present in each row,,,,Operational
Code table 3.11 - Interpretation of list of numbers at end of section 3,,3,,"Numbers define the actual latitudes for each row in the grid. The list of numbers are integer values of the valid latitudes in microdegrees (scaled by 10-6) or in unit equal to the ratio of the basic angle and the subdivisions number for each row, in the same order as specified in the ""scanning mode flag"" (bit no. 2)",(see Note 2),105,,Operational
Code table 3.11 - Interpretation of list of numbers at end of section 3,,4-254,,Reserved,,,,Operational
Code table 3.11 - Interpretation of list of numbers at end of section 3,,255,,Missing,,,,Operational
Code table 3.12 - HEALPix rhomboids or points ordering,,0,,Ring ordering,,,,Operational
Code table 3.12 - HEALPix rhomboids or points ordering,,1,,Nested ordering,,,,Operational
Code table 3.12 - HEALPix rhomboids or points ordering,,2-191,,Reserved,,,,Operational
Code table 3.12 - HEALPix rhomboids or points ordering,,192-254,,Reserved for local use,,,,Operational
Code table 3.12 - HEALPix rhomboids or points ordering,,255,,Missing,,,,Operational
Flag table 3.13 - HEALPix scanning mode,,1,0,Points scan in +i (+x) direction,,,,Operational
Flag table 3.13 - HEALPix scanning mode,,1,1,Points scan in -i (-x) direction,,,,Operational
Flag table 3.13 - HEALPix scanning mode,,2,0,Points scan in -j (-y) direction,,,,Operational
Flag table 3.13 - HEALPix scanning mode,,2,1,Points scan in +j (+y) direction,,,,Operational
Flag table 3.13 - HEALPix scanning mode,,3,0,Adjacent points in i (x) direction are consecutive,,,,Operational
Flag table 3.13 - HEALPix scanning mode,,3,1,Adjacent points in j (y) direction are consecutive,,,,Operational
Flag table 3.13 - HEALPix scanning mode,,4-8,,Reserved,,,,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,0-19,,Reserved,,,,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,20,,Temperature,,,K,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,21-99,,Reserved,,,,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,100,,Pressure,,,Pa,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,101,,Pressure deviation from mean sea level,,,Pa,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,102,,Altitude above mean sea level,,,m,Operational
Code table 3.15 - Physical meaning of vertical coordinate,,103,,Height above ground,(see Note 1),68,m,Operational
